			PltRpt=1 Group=1 Copy of US LUM 384 (cps)(1) De=USLum Ex=N/A Em=N/A Wdw=N/A		PltRpt=1 Crosstalk = Crosstalk correction where Label : Copy of US LUM 384 (cps)(1) channel 1		
Plate	Barcode	Well	CalcResult	Signal	CalcResult		
1		I13	119340	23868	119340		
1		I14	134260	26852	134260		
1		I15	158560	31712	158560		
1		I16	129120	25824	129120		
1		I17	114220	22844	114220		
1		I18	114100	22820	114100		
1		I19	138380	27676	138380		
1		I20	138960	27792	138960		
1		I21	117740	23548	117740		
1		I22	120780	24156	120780		
1		I23	156940	31388	156940		
1		I24	157940	31588	157940		
1		J01	134560	26912	134560		
1		J02	145360	29072	145360		
1		J03	92060	18412	92060		
1		J04	108220	21644	108220		
1		J05	152380	30476	152380		
1		J06	114840	22968	114840		
1		J07	147540	29508	147540		
1		J08	132000	26400	132000		
1		J09	139460	27892	139460		
1		J10	139600	27920	139600		
1		J11	107100	21420	107100		
1		J12	115560	23112	115560		
1		J13	138420	27684	138420		
1		J14	116340	23268	116340		
1		J15	128740	25748	128740		
1		J16	155940	31188	155940		
1		J17	169000	33800	169000		
1		J18	200960	40192	200960		
1		J19	133200	26640	133200		
1		J20	201540	40308	201540		
1		J21	198100	39620	198100		
1		J22	158960	31792	158960		
1		J23	163860	32772	163860		
1		J24	169560	33912	169560		
1		K01	160880	32176	160880		
1		K02	115500	23100	115500		
1		K03	136500	27300	136500		
1		K04	122960	24592	122960		
1		K05	150120	30024	150120		
1		K06	153920	30784	153920		
1		K07	131060	26212	131060		
1		K08	142900	28580	142900		
1		K09	156460	31292	156460		
1		K10	122600	24520	122600		
1		K11	153300	30660	153300		
1		K12	223520	44704	223520		
1		K13	101820	20364	101820		
1		K14	137300	27460	137300		
1		K15	143340	28668	143340		
1		K16	232820	46564	232820		
1		K17	130020	26004	130020		
1		K18	26260	5252	26260		
1		K19	41260	8252	41260		
1		K20	26920	5384	26920		
1		K21	22500	4500	22500		
1		K22	161880	32376	161880		
1		K23	248920	49784	248920		
1		K24	186360	37272	186360		
1		L01	145580	29116	145580		
1		L02	187740	37548	187740		
1		L03	130000	26000	130000		
1		L04	119380	23876	119380		
1		L05	163740	32748	163740		
1		L06	125800	25160	125800		
1		L07	146520	29304	146520		
1		L08	150880	30176	150880		
1		L09	126280	25256	126280		
1		L10	100740	20148	100740		
1		L11	160400	32080	160400		
1		L12	155520	31104	155520		
1		L13	103220	20644	103220		
1		L14	117400	23480	117400		
1		L15	144560	28912	144560		
1		L16	161760	32352	161760		
1		L17	142400	28480	142400		
1		L18	161060	32212	161060		
1		L19	260380	52076	260380		
1		L20	158120	31624	158120		
1		L21	186640	37328	186640		
1		L22	167080	33416	167080		
1		L23	190340	38068	190340		
1		L24	158560	31712	158560		
1		M01	139700	27940	139700		
1		M02	115000	23000	115000		
1		M03	96000	19200	96000		
1		M04	110340	22068	110340		
1		M05	129540	25908	129540		
1		M06	111160	22232	111160		
1		M07	114140	22828	114140		
1		M08	281220	56244	281220		
1		M09	150640	30128	150640		
1		M10	88020	17604	88020		
1		M11	119700	23940	119700		
1		M12	124120	24824	124120		
1		M13	136360	27272	136360		
1		M14	193800	38760	193800		
1		M15	139880	27976	139880		
1		M16	122500	24500	122500		
1		M17	139300	27860	139300		
1		M18	150140	30028	150140		
1		M19	173300	34660	173300		
1		M20	158400	31680	158400		
1		M21	164220	32844	164220		
1		M22	149760	29952	149760		
1		M23	151860	30372	151860		
1		M24	158740	31748	158740		
1		N01	171420	34284	171420		
1		N02	152940	30588	152940		
1		N03	139600	27920	139600		
1		N04	141260	28252	141260		
1		N05	136000	27200	136000		
1		N06	157300	31460	157300		
1		N07	134940	26988	134940		
1		N08	149260	29852	149260		
1		N09	140680	28136	140680		
1		N10	116580	23316	116580		
1		N11	147820	29564	147820		
1		N12	113260	22652	113260		
1		N13	124680	24936	124680		
1		N14	112180	22436	112180		
1		N15	155360	31072	155360		
1		N16	110280	22056	110280		
1		N17	175880	35176	175880		
1		N18	25660	5132	25660		
1		N19	23200	4640	23200		
1		N20	30240	6048	30240		
1		N21	30540	6108	30540		
1		N22	143720	28744	143720		
1		N23	157300	31460	157300		
1		N24	162680	32536	162680		
1		O01	148240	29648	148240		
1		O02	409480	81896	409480		
1		O03	203460	40692	203460		
1		O04	141080	28216	141080		
1		O05	156180	31236	156180		
1		O06	153080	30616	153080		
1		O07	153340	30668	153340		
1		O08	170320	34064	170320		
1		O09	154780	30956	154780		
1		O10	154540	30908	154540		
1		O11	196120	39224	196120		
1		O12	208340	41668	208340		
1		O13	112980	22596	112980		
1		O14	154780	30956	154780		
1		O15	152720	30544	152720		
1		O16	117900	23580	117900		
1		O17	122320	24464	122320		
1		O18	90300	18060	90300		
1		O19	77320	15464	77320		
1		O20	79960	15992	79960		
1		O21	65220	13044	65220		
1		O22	161740	32348	161740		
1		O23	186280	37256	186280		
1		O24	190720	38144	190720		
1		P01	161640	32328	161640		
1		P02	132940	26588	132940		
1		P03	130240	26048	130240		
1		P04	227860	45572	227860		
1		P05	156080	31216	156080		
1		P06	183480	36696	183480		
1		P07	149260	29852	149260		
1		P08	170360	34072	170360		
1		P09	113060	22612	113060		
1		P10	133180	26636	133180		
1		P11	172140	34428	172140		
1		P12	165520	33104	165520		
1		P13	158420	31684	158420		
1		P14	184580	36916	184580		
1		P15	131680	26336	131680		
1		P16	218660	43732	218660		
1		P17	169760	33952	169760		
1		P18	189960	37992	189960		
1		P19	197600	39520	197600		
1		P20	145240	29048	145240		
1		P21	147880	29576	147880		
1		P22	215840	43168	215840		
1		P23	173200	34640	173200		
1		P24	232020	46404	232020		

Exported with EnVision Workstation version 1.08 Rev.2
