			PltRpt=1 Group=1 Copy of US LUM 384 (cps)(1) De=USLum Ex=N/A Em=N/A Wdw=N/A				PltRpt=1 Crosstalk = Crosstalk correction where Label : Copy of US LUM 384 (cps)(1) channel 1					
Plate	Barcode	Well	CalcResultI	Signal	Flashes/Time	MeasTime	CalcResultI	Signal		MeasTime		
1		D20	225000	45000	0.2	00:00:22.609	225000	0	0	0		
1		D21	206180	41236	0.2	00:00:22.312	206180	0	0	0		
1		D22	194000	38800	0.2	00:00:22.015	194000	0	0	0		
1		D23	231940	46388	0.2	00:00:21.719	231940	0	0	0		
1		D24	193120	38624	0.2	00:00:21.422	193120	0	0	0		
1		E01	190980	38196	0.2	00:00:28.562	190980	0	0	0		
1		E02	194700	38940	0.2	00:00:28.859	194700	0	0	0		
1		E03	184740	36948	0.2	00:00:29.156	184740	0	0	0		
1		E04	129760	25952	0.2	00:00:29.453	129760	0	0	0		
1		E05	140780	28156	0.2	00:00:29.750	140780	0	0	0		
1		E06	161040	32208	0.2	00:00:30.047	161040	0	0	0		
1		E07	130020	26004	0.2	00:00:30.344	130020	0	0	0		
1		E08	138780	27756	0.2	00:00:30.640	138780	0	0	0		
1		E09	153240	30648	0.2	00:00:30.937	153240	0	0	0		
1		E10	115660	23132	0.2	00:00:31.219	115660	0	0	0		
1		E11	101600	20320	0.2	00:00:31.515	101600	0	0	0		
1		E12	137760	27552	0.2	00:00:31.812	137760	0	0	0		
1		E13	170600	34120	0.2	00:00:32.109	170600	0	0	0		
1		E14	251700	50340	0.2	00:00:32.406	251700	0	0	0		
1		E15	189760	37952	0.2	00:00:32.703	189760	0	0	0		
1		E16	157960	31592	0.2	00:00:33.000	157960	0	0	0		
1		E17	167920	33584	0.2	00:00:33.297	167920	0	0	0		
1		E18	147320	29464	0.2	00:00:33.578	147320	0	0	0		
1		E19	150400	30080	0.2	00:00:33.875	150400	0	0	0		
1		E20	146480	29296	0.2	00:00:34.172	146480	0	0	0		
1		E21	121500	24300	0.2	00:00:34.469	121500	0	0	0		
1		E22	183060	36612	0.2	00:00:34.765	183060	0	0	0		
1		E23	142860	28572	0.2	00:00:35.062	142860	0	0	0		
1		E24	135580	27116	0.2	00:00:35.359	135580	0	0	0		
1		F01	215200	43040	0.2	00:00:42.500	215200	0	0	0		
1		F02	180760	36152	0.2	00:00:42.203	180760	0	0	0		
1		F03	150820	30164	0.2	00:00:41.906	150820	0	0	0		
1		F04	131720	26344	0.2	00:00:41.609	131720	0	0	0		
1		F05	141180	28236	0.2	00:00:41.328	141180	0	0	0		
