	A1	3056357
	A2	3042430
	A3	2707937
	A4	2240732
	A5	2323802
	A6	2571352
	A7	2262640
	A8	2419776
	A9	2587257
	A10	2461163
	A11	2327447
	A12	2114259
	A13	2599069
	A14	2028371
	A15	2693544
	A16	2898071
	A17	2569337
	A18	3091921
	A19	2753215
	A20	3195067
	A21	2566278
	A22	2479877
	A23	28044
	A24	1060
	B1	2851721
	B2	2924253
	B3	2405697
	B4	2710131
	B5	2201340
	B6	2418958
	B7	2634858
	B8	2453576
	B9	2080085
	B10	2644538
	B11	1974392
	B12	2544146
	B13	2826914
	B14	3312335
	B15	934857
	B16	3203208
	B17	3244445
	B18	3134718
	B19	3022164
	B20	3044497
	B21	2503508
	B22	1174002
	B23	15323
	B24	1159
	C1	2895375
	C2	3183396
	C3	2554609
	C4	2526520
	C5	2381902
	C6	2398067
	C7	1661720
	C8	1984175
	C9	2602491
	C10	3272920
	C11	2023059
	C12	1920811
	C13	3363772
	C14	3559798
	C15	2293798
	C16	2988954
	C17	506929
	C18	2592396
	C19	3146534
	C20	3057702
	C21	3270480
	C22	354080
	C23	9502
	C24	2159
	D1	2390634
	D2	2895834
	D3	3120687
	D4	3440461
	D5	2852092
	D6	2966039
	D7	1840329
	D8	2309534
	D9	2699289
	D10	2455634
	D11	2719503
	D12	3111125
	D13	2751119
	D14	2900940
	D15	2565247
	D16	2039707
	D17	2142055
	D18	2508393
	D19	2762802
	D20	2848792
	D21	3126505
	D22	2932224
	D23	71639
	D24	35100
	E1	3241448
	E2	2625011
	E3	114181
	E4	2299474
	E5	2379384
	E6	2126524
	E7	1929948
	E8	1977567
	E9	1620118
	E10	2224259
	E11	2179378
	E12	1684924
	E13	1767220
	E14	2412934
	E15	2016927
	E16	1886399
	E17	2498935
	E18	1913108
	E19	2598924
	E20	2894154
	E21	3200666
	E22	2725579
	E23	2938122
	E24	2679929
	F1	2482057
	F2	2383862
	F3	2576447
	F4	2751060
	F5	2294235
	F6	2272481
	F7	1863697
	F8	2197805
	F9	1246000
	F10	2227420
	F11	1875413
	F12	1793572
	F13	1758150
	F14	1987966
	F15	1715555
	F16	1894119
	F17	1170232
	F18	2618697
	F19	2184871
	F20	2517822
	F21	2455754
	F22	2991381
	F23	3188874
	F24	2842033
	G1	2853111
	G2	2781006
	G3	2364927
	G4	2754452
	G5	1979656
	G6	2147600
	G7	1487063
	G8	2244607
	G9	1775323
	G10	1746741
	G11	60075
	G12	1520507
	G13	1824096
	G14	2335675
	G15	2182085
	G16	1714890
	G17	1982932
	G18	2096255
	G19	1919649
	G20	2108665
	G21	2666753
	G22	2734970
	G23	4711451
	G24	2697044
	H1	2717794
	H2	2142164
	H3	2687315
	H4	2285786
	H5	2622588
	H6	2659610
	H7	2149987
	H8	1769973
	H9	1670356
	H10	2259405
	H11	2105748
	H12	1793745
	H13	1521930
	H14	1488845
	H15	2182931
	H16	1877140
	H17	1500285
	H18	2259063
	H19	2419116
	H20	2341712
	H21	2813204
	H22	108094
	H23	4158842
	H24	2444027
	I1	2754154
	I2	2719481
	I3	2230788
	I4	2287551
	I5	2051146
	I6	2095658
	I7	2089244
	I8	2154140
	I9	1919332
	I10	2286641
	I11	1923095
	I12	1465325
	I13	1519718
	I14	1587188
	I15	115783
	I16	2570843
	I17	1773829
	I18	1587015
	I19	1950107
	I20	2399379
	I21	2698818
	I22	2659366
	I23	101012
	I24	73453
	J1	2502188
	J2	2523664
	J3	2601402
	J4	2615897
	J5	2266777
	J6	2216633
	J7	1785383
	J8	1888509
	J9	2334063
	J10	2038496
	J11	1568492
	J12	1770268
	J13	2112685
	J14	1814866
	J15	1344794
	J16	2135967
	J17	1736804
	J18	2176137
	J19	2142506
	J20	2042037
	J21	2100695
	J22	2570108
	J23	59451
	J24	42232
	K1	2505551
	K2	2650059
	K3	2532555
	K4	2343596
	K5	1978068
	K6	2220687
	K7	859568
	K8	1619116
	K9	2414119
	K10	2020407
	K11	1689044
	K12	1743619
	K13	1823723
	K14	1769414
	K15	1827064
	K16	1896970
	K17	1771959
	K18	2254145
	K19	2240973
	K20	2286440
	K21	2225841
	K22	60793
	K23	27520
	K24	44919
	L1	2786466
	L2	2602236
	L3	1539456
	L4	3061776
	L5	2366820
	L6	2020253
	L7	1739547
	L8	2338486
	L9	2113804
	L10	2357267
	L11	1822738
	L12	2315932
	L13	1711018
	L14	2110787
	L15	1762955
	L16	2465071
	L17	2579691
	L18	2269082
	L19	2164895
	L20	975790
	L21	2014624
	L22	2547924
	L23	42318
	L24	37471
	M1	2685399
	M2	3095504
	M3	2816787
	M4	2665754
	M5	2348506
	M6	2380194
	M7	2546889
	M8	1568461
	M9	2369711
	M10	1866917
	M11	2172987
	M12	1568539
	M13	1553282
	M14	1812984
	M15	1753592
	M16	1422354
	M17	2329255
	M18	2275353
	M19	2090052
	M20	2476069
	M21	2485849
	M22	1416897
	M23	63975
	M24	68294
	N1	2262533
	N2	2682471
	N3	2870699
	N4	2876498
	N5	2746946
	N6	2281183
	N7	1905485
	N8	2134763
	N9	1869176
	N10	1836889
	N11	2115279
	N12	1879150
	N13	2026233
	N14	1743954
	N15	1970751
	N16	2053627
	N17	2079131
	N18	2842915
	N19	1948301
	N20	82776
	N21	2461526
	N22	2335296
	N23	67639
	N24	60773
	O1	3032728
	O2	2549946
	O3	2518158
	O4	2787000
